Year,Review
2021,"I love GAP....always have. Going on 20+ years now. The quality is mostly there and everything washes easily and looks good for years (when passing on clothes to younger siblings). It's just easy, good quality, keeps up with the styles and feels good. Also, ordering online or doing any returns has been easy too. Always feel taken care of.?? I'm to spend my money at the GAP. Worth it."
2022,"Excellent fit, extraordinary style, extremely trendy styles, amazing prices, fabulous selection and variety of different styles and fashion choices for all genders to choose from and all at great locations. If you're anywhere close to the Wichita area there is a very nice sized GAP Store located right there on the East Side in the Mall. And it's really easy to find!!! You can place your order online and then then select the nearest location to you to have it delivered to and then go pick it up!"
2022,Not sure if I ever feel comfortable shopping here again. I bought a pair of shoes for my daughter to wear and when she tried it on her foot got hurt due to a magnetic metal security tag end being left on there. When I called to complain the best they could do was offer a $25 coupon for future shopping. Not sure if I feel safe shopping here anymore.
2021,"Works very well for me! First time, ran like a champ. ... not just a sr. UI dev, but as a brand new user, TOO! Also runs on my Android 8 device, which is now I use as a tablet. Good navigation, easy to read screens, and understand. the workflow very easily. Have 5 items in my bag.... :-) Good job!"
2022,"Logs me out immediately... Most annoying thing ever. I just want to browse and buy things, but it's impossible!! I would use the regular website, but the shopping experience there is more complicated. Please fix"
2022,"Won't even let me check out. I kept getting error messages when I click on check out. My free shipping benefit as an icon member is also not being recognized. I don't have to spend $50 to get free shipping on the website. Lastly, it only gives me Gap order info and none on my Banana orders. It's better to just keep using the website. The app is useless."
2023,If your using their filter system if you go back from looking at an item it restarts all over again especially for the banana republic link. Also on it's banana republic link it doesn't let you zoom in so you don't have a clear image of the type of material the fabric is.
2022,"I do not recommend you download this app. It's always lagging, always some type of error during checkout or when you are trying to make a payment. It always redirects to the website anyway so there is no point having this installed. Save time and storage and just use the website."
2023,App Not worth the hassle. It takes you back to the beginning over and over. Very frustrating
2022,"App doesn't work. When I try to shop and open a specific section, it just tells me something went wrong and to try to refresh which then just gives me the same message. It's been this way for a couple weeks now. I guess I will delete the app."
2021,When I try to go to payment it's always saying something is wrong and to refresh and when I hit refresh it's still saying something is wrong. I never had this problem with the older app. All of the other functions and features are doing this as well.
2022,"Not consistent with my information from my emails. Such as reward points, Gap cash amounts, orders past and present and more. Hard to find a phone number for customer service. Makes online shopping a little difficult."
2022,"It never keeps me logged in. Half the reason I downloaded it was so I could stay logged in and wouldn't have to remember my password. I really enjoyed it for the sale reminders and saving coupons, but I feel such a huge flash of annoyance when I have to go through the password schpiel again that I'm going to delete it."
2022,"Gap has offered consistent quality and fun fashion for both children and adults. Sometimes their fashion is too heavy on fad for my liking but when they make their way back around to classic design, I can be sure to find clothes for the whole family."
2021,"Interface is kind of better than the old app but making payments on the credit card is trash. Payment date pulls up a calendar to click the date but then it doesn't go through because ""date has to be in mmddyyyy format"" but you can't just type in the date??"
2023,great prices. great app
2023,"I love gap, however the app does get stuck sometimes, I'd recommend getting that bug fixed!"
2021,"Keeps crashing when trying to open it. It did work fine a few days ago, but not addressing this issue for 24+ hours is not a good reflection on the company. Otherwise, the app is a solid 4."
2021,This app would be a 5 star app if only when you click on a item to view and then go back it doesn't take you to where you left off but all the way back to the top. So frustrating and I just get tired of scrolling all the way down to where I left off so I don't end up buying anything!
2022,"Really kind of a bummer to offer an extra discount for using the app to turn around and not be able to checkout in the app. Just keep getting ""something went wrong. Hit refresh"""
2021,"could be improved. after selecting an item if you go back, it takes you to the top of the product list and you have to scroll down again. very frustrating. i could not find an option for sorting."
2023,"Can no longer check out on the app. I always get an error. The lag on the app makes it almost impossible to use, constantly freezing and shutting down."
